year,age,sex,people
12/2/2018,65+,female,23727.92981
12/2/2018,65+,male,3373.932465
12/3/2018,18-24,female,194.562514
12/3/2018,18-24,male,38.299818
12/3/2018,25-34,female,1241.88184
12/3/2018,25-34,male,193.669348
12/3/2018,35-44,female,11171.77287
12/3/2018,35-44,male,1325.279266
12/3/2018,45-54,female,21803.48502
12/3/2018,45-54,male,2386.046585
12/3/2018,55-64,female,27233.65038
12/3/2018,55-64,male,3230.121066
12/3/2018,65+,female,17078.78158
12/3/2018,65+,male,1707.178424
12/4/2018,18-24,female,246.885113
12/4/2018,18-24,male,28.949928
12/4/2018,25-34,female,1300.479469
12/4/2018,25-34,male,127.638043
12/4/2018,35-44,female,9666.894849
12/4/2018,35-44,male,1341.878322
12/4/2018,45-54,female,18976.18806
12/4/2018,45-54,male,2322.77494
12/4/2018,55-64,female,25291.52712
12/4/2018,55-64,male,3193.126374
12/4/2018,65+,female,15221.12092
12/4/2018,65+,male,1814.99955
12/5/2018,18-24,female,182.212962
12/5/2018,18-24,male,22.24904
12/5/2018,25-34,female,962.44584
12/5/2018,25-34,male,113.264885
12/5/2018,35-44,female,10148.54562
12/5/2018,35-44,male,1392.17176
12/5/2018,45-54,female,20709.50773
12/5/2018,45-54,male,2590.346256
12/5/2018,55-64,female,26924.647
12/5/2018,55-64,male,3576.185179
12/5/2018,65+,female,15910.8792
12/5/2018,65+,male,1473.642996
12/6/2018,18-24,female,124.198757
12/6/2018,18-24,male,20.048838
12/6/2018,25-34,female,746.617493
12/6/2018,25-34,male,136.405522
12/6/2018,35-44,female,7565.349679
12/6/2018,35-44,male,1290.7647
12/6/2018,45-54,female,16233.40141
12/6/2018,45-54,male,2443.572825
12/6/2018,55-64,female,23063.8136
12/6/2018,55-64,male,3490.24423
12/6/2018,65+,female,16661.43184
12/6/2018,65+,male,1749.277268
12/7/2018,18-24,female,179.836145
12/7/2018,18-24,male,26.26542
12/7/2018,25-34,female,1090.549975
12/7/2018,25-34,male,197.09811
12/7/2018,35-44,female,9557.366881
12/7/2018,35-44,male,1454.340161
12/7/2018,45-54,female,20642.37282
12/7/2018,45-54,male,2792.227234
12/7/2018,55-64,female,28049.18074
12/7/2018,55-64,male,3833.702153
12/7/2018,65+,female,18258.74313
12/7/2018,65+,male,1939.272464
12/8/2018,18-24,female,191.183039
